ID;marca1;marca2;IDMARCA;Carro;IDMARCA;Moto;;;;;
1;CHEVROLET;HONDA;25;INTEGRA;7;BIZ;;;;;
2;VOLKSWAGEN;AGRALE;25;LEGEND;7;CB 300R;;;;;
3;FIAT;BMW;25;NSX;7;CB 400;;;;;
4;MERCEDES-BENZ;SUZUKI;27;MARRUA;7;CB 500;;;;;
5;CITROEN;LIFAN;28;145;7;CB 600 HORNET;;;;;
6;CHANA;MAHINDRA;28;147;7;CBR 1000F;;;;;
7;HONDA;SHINERAY;28;155;7;FIREBLADE CBR;;;;;
8;SUBARU;KASINSKI;28;156;7;CBR 450;;;;;
10;FERRARI;YAMAHA;28;164;7;CBR 600;;;;;
11;BUGATTI;GARINNI;28;166;7;TWISTER CBX 250;;;;;
12;LAMBORGHINI;SUNDOWN;28;2300;7;CBX 750F;;;;;
13;FORD;KAWASAKI;28;SPIDER;7;CG FAN;;;;;
14;HYUNDAI;POLARIS;156;HUMMER;7;CG TITAN;;;;;
15;JAC;ADLY;16;AM-825;135;CRYPTON T115;;;;;
16;KIA;AMAZONAS;16;HI-TOPIC;133;CRZ;;;;;
17;GURGEL;APRILIA;16;ROCSTA;59;V-STROM DL;;;;;
18;DODGE;ATALA;16;TOPIC;135;DT 200;;;;;
19;CHRYSLER;BAJAJ;16;TOWNER;27;ELEFANTRE;;;;;
20;BENTLEY;BENELLI;32;100;140;FUTURE;;;;;
21;SSANGYONG;BETA;32;80;136;GR 500;;;;;
22;PEUGEOT;BIMOTA;32;A1;136;GRI 50;;;;;
23;TOYOTA;BRANDY;32;A3;59;GSX;;;;;
24;RENAULT;BRAVA;32;A4 SEDAN;59;GSX-R GIXXER/SRAD;;;;;
25;ACURA;BRP;32;A5 COUPE;135;FAZER YS250;;;;;
26;ADAMO;BUELL;32;A6 SEDAN;135;FACTOR YBR125;;;;;
27;AGRALE;BUENO;32;A7;135;YZF R1;;;;;
28;ALFA ROMEO;CAGIVA;32;A8;135;VIRAGO 250;;;;;
29;AMERICAR;MOBILETE;32;Q3;27;CITY;;;;;
31;ASTON MARTIN;DAELIM;32;Q5;27;DAKAR;;;;;
32;AUDI;DAFRA;32;Q7;27;ELEFANT;;;;;
34;BEACH;DAYANG;32;R8;27;FORCE;;;;;
35;BIANCO;DAYUN;32;RS3;27;JUNIOR;;;;;
36;BMW;DERBI;32;RS4;27;SST;;;;;
37;BORGWARD;DUCATI;32;RS5;27;SUPER CITY;;;;;
38;BRILLIANCE;EMME;32;RS6;27;SXT;;;;;
41;BUICK;FYM;32;S3;27;TCHAU;;;;;
42;CBT;GAS GAS;32;S4 SEDAN;177;AME-110;;;;;
43;NISSAN;GREEN;32;S6 SEDAN;177;AME-150;;;;;
44;CHAMONIX;HAOBAO;32;S8;177;AME-250;;;;;
46;CHEDA;HARLEY-DAVIDSON;32;TT;177;AME-LX;;;;;
47;CHERY;HARTFORD;32;TTS;178;AREA-51;;;;;
48;CORD;HERO;157;BUGGY;178;CLASSIC;;;;;
49;COYOTE;HUSABERG;155;DEVILLE;178;LEONARDO;;;;;
50;CROSS LANDER;HUSQVARNA;155;ELDORADO;178;MOTO;;;;;
51;DAEWOO;IROS;155;SEVILLE;178;PEGASO;;;;;
52;DAIHATSU;JIAPENG VOLCANO;42;JAVALI;178;RALLY;;;;;
53;VOLVO;JOHNNYPAG;6;MINI STAR FAMILY;178;RS;;;;;
54;DE SOTO;JONNY;6;MINI STAR UTILITY;178;RSV MILLE;;;;;
55;DETOMAZO;KAHENA;47;CIELO;178;RX;;;;;
56;DELOREAN;KIMCO;47;FACE;178;SCARABEO;;;;;
57;DKW-VEMAG;LAQUILA;47;QQ;178;SONIC;;;;;
59;SUZUKI;LANDUM;47;S-18;178;SR RACING;;;;;
60;EAGLE;LAVRALE;47;TIGGO;178;SR WWW;;;;;
61;EFFA;LERIVO;19;300C;179;CALIFFONE;;;;;
63;ENGESA;LON-V;19;CARAVAN;179;MASTER;;;;;
64;ENVEMO;TRICICLO;19;CIRRUS;179;SKEGIA;;;;;
65;FARUS;MALAGUTI;19;GRAN CARAVAN;180;CHAMPION;;;;;
66;FERCAR;MIZA;19;LE BARON;180;CLASSIC;;;;;
68;FNM;MOTO GUZZI;19;NEON;181;TNT;;;;;
69;PONTIAC;MRX;19;PT CRUISER;181;TRE;;;;;
70;PORSCHE;MV AUGUSTA;19;SEBRING;182;MX-50;;;;;
72;GEO;MVK;19;STRATUS;183;DB4;;;;;
74;GRANCAR;ORCA;19;TOWN E COUNTRY;183;DB5R;;;;;
75;GREAT WALL;PEGASSI;19;VISION;183;DB6;;;;;
76;HAFEI;PIAGGIO;5;AIRCROSS;183;DB6R;;;;;
78;HOFSTETTER;REGAL RAPTOR;5;AX;183;DB7;;;;;
79;HUDSON;SANYANG;5;BERLINGO;183;MANTRA;;;;;
80;HUMMER;SIAMOTO;5;BX;183;SBR8;;;;;
82;INFINITI;TARGOS;5;C3;183;TESI;;;;;
83;INTERNATIONAL;TRAXX;5;C4;36;G650GS;;;;;
86;JAGUAR;VENTO;5;C5;36;S1000RR;;;;;
87;JEEP;WUYANG;5;C6;184;ELEGANT;;;;;
88;JINBEI;GARRA;5;C8;184;FOSTI;;;;;
89;JPX;X MOTOS;5;DS3;184;PISTA;;;;;
90;KAISER;TRICKER;5;EVASION;184;TURBO;;;;;
91;KOENIGSEGG;LAMBRETA;5;JUMPER;184;ZANELLA;;;;;
92;LAUTOMOBILE;OUTROS;5;XANTIA;185;YB;;;;;
93;LAUTOCRAFT;SCOOTER;5;XM;186;CAN-AM;;;;;
94;LADA;ZONGSHEN;5;XSARA;187;1125;;;;;
95;LANCIA;BIRELLI;5;ZX;187;FIREBOLT;;;;;
96;LAND ROVER;WALK MACHINE;50;CL-244;187;LIGHTNING;;;;;
97;LEXUS;FBM;50;CL-330;187;ULYSSES;;;;;
98;LIFAN;ARIEL;51;ESPERO;188;JBR;;;;;
99;LINCOLN;DUCAR;51;LANOS;190;CANYON;;;;;
100;LOBINI;DITALLY;51;LEGANZA;190;ELEFANT;;;;;
101;LOTUS;MARVA;51;NUBIRA;190;GRAN CANYON;;;;;
102;MAHINDRA;WOLVER;51;PRINCE;190;MITO;;;;;
104;MASERATI;KTM;51;RACER;190;NAVIGATOR;;;;;
106;MATRA;LEOPARD;51;SUPER SALON;190;PLANET;;;;;
107;MAYBACH;JAWA;51;TICO;190;ROADSTER;;;;;
108;MAZDA;BULL;52;APPLAUSE;190;V-RAPTOR;;;;;
109;MENON;CAN-AM;52;CHARADE;190;W-16;;;;;
110;MERCURY;ACELLERA;52;CUORE;191;MOBILETE;;;;;
111;MITSUBISHI;VICTORY;52;FEROZA;192;ALTINO;;;;;
112;MG;INDIAN;52;GRAN MOVE;192;MESSAGE;;;;;
113;MINI;BRAVAX;52;MOVE VAN;192;VC;;;;;
114;MIURA;GARELLI;52;TERIOS;192;VF;;;;;
115;MORRIS;;18;AVENGER;192;VS;;;;;
116;MP LAFER;;18;DAKOTA;192;VT;;;;;
117;MPLM;;18;JOURNEY;192;VX;;;;;
118;NEWTRACK;;18;RAM;193;APACHE;;;;;
119;NISSIN;;18;STEALTH;193;CITYCOM;;;;;
120;OLDSMOBILE;;61;M-100;193;KANSAS;;;;;
121;PAG;;61;PLUTUS;193;LASER;;;;;
122;PAGANI;;61;START;193;NEXT;;;;;
123;PLYMOUTH;;61;ULC;193;RIVA;;;;;
124;PUMA;;63;ENGESA;193;ROADWIN;;;;;
125;RENO;;64;CAMPER;193;SMART;;;;;
126;REVA-I;;64;MASTER;193;SPEED;;;;;
127;ROLLS-ROYCE;;10;348;193;SUPER;;;;;
129;ROMI;;10;355;193;ZIG;;;;;
130;SEAT;;10;360;194;DY100-31;;;;;
